Sample_Index,col0,col1
1255,7252,-27637
1256,22601,17411
1257,-18350,30708
1258,-19364,-19458
1259,28750,-16377
1260,12360,25595
1261,-31656,1018
1262,-2982,-26616
1263,-5027,39925
1264,-24471,-11269
1265,20575,-35827
1266,22612,20483
1267,-26527,9215
1268,-14232,-27635
1269,30809,-1010
1270,2136,36860
1271,-32664,3067
1272,17504,-36850
1273,37966,12296
1274,-19368,17408
1275,23629,-14329
1276,19524,40947
1277,-31660,11246
1278,1107,-29699
1279,34882,-7167
1280,65,27636
1281,-19381,-17411
1282,15428,-25590
1283,19515,30715
1284,-30646,20466
1285,-9137,-22530
1286,5197,25586
1287,-33698,-6154
1288,9306,-32761
1289,24654,13313
1290,-21415,32753
1291,-27545,-20484
1292,30808,-10238
1293,15441,20472
1294,-26530,3063
1295,1117,-33784
1296,24657,6149
1297,-14248,22522
1298,19535,-21499
1299,20549,25593
1300,-26542,13299
1301,-11176,-32764
1302,21582,-9207
1303,2125,30714
1304,-32675,-5
1305,9305,-27639
1306,18512,18432
1307,-20390,29682
1308,-17309,-23554
1309,13405,21492
1310,-27541,-1035
1311,-5010,-23551
1312,25698,3072
1313,-10137,33776
1314,-24461,-8203
1315,23656,-19457
1316,20574,13305
1317,-27540,14323
1318,-18315,-18435
1319,26728,-3073
1320,10339,32752
1321,7264,-21509
1322,29778,6137
1323,-18341,18417
1324,-29590,-20484
1325,17506,-13309
1326,1121,25591
1327,-28561,10227
1328,3182,-25600
1329,28768,1023
1330,-9115,20470
1331,-18322,-13315
1332,15463,21491
1333,-21390,22505
1334,-8074,-19469
1335,33894,-12294
1336,6243,24559
1337,-28559,-6157
1338,-1934,-28670
1339,28772,10237
1340,-15252,31726
1341,-21385,-16393
1342,21613,-9220
1343,9321,34796
1344,-12177,-36865
1345,25699,0
1346,-11159,32752
1347,-23435,-15
1348,13423,-15367
1349,29793,19440
1350,-16279,15337
1351,-5012,-20492
1352,24672,-6152
1353,-927,24557
1354,-29584,-4112
1355,17512,16361
1356,-13201,23518
1357,-17288,-13339
1358,21614,-17426
1359,7275,18406
1360,-31621,9186
1361,-3971,-17429
1362,28783,7144
1363,-1936,27611
1364,-22405,-7201
1365,20593,-29714
1366,16489,18406
1367,-13200,-29707
1368,23653,-10
1369,9313,33766
1370,-21396,4069
1371,11367,-24590
1372,25691,8175
1373,-11167,16360
1374,-23443,-20493
1375,19556,-16388
1376,8288,23537
1377,-16280,14315
1378,26715,6121
1379,-6050,21471
1380,-22423,-16408
1381,13411,-26634
1382,15452,17390
1383,-15260,22500
1384,-12182,-19474
1385,32858,-4111
1386,4184,22503
1387,-22429,-3095
1388,7264,-25610
1389,24660,10226
1390,-13221,-11272
1391,20561,-11266
1392,13387,28657
1393,-19371,3056
1394,2132,-25603
1395,26695,5115
1396,-7093,24560
1397,-24489,-12297
1398,15440,-13314
1399,9292,23539
1400,-19370,20458
1401,27721,-6162
1402,3144,24547
1403,-23468,-5146
1404,7249,-22542
1405,26692,10222
1406,-5049,18406
1407,-14258,-17425
1408,25666,-10251
1409,11325,21483
1410,-26550,4074
1411,-4020,-16397
1412,19523,7152
1413,-21426,-9227
1414,20548,-17410
1415,13374,8187
1416,-15290,15348
1417,-9141,-20481
1418,20545,4094
1419,3136,27633
1420,-24500,1008
1421,11335,-21509
1422,21565,12278
1423,-13244,19437
1424,18491,-14347
1425,6200,25577
1426,-25531,9189
1427,-3001,-20496
1428,20541,9196
1429,-7103,16357
1430,-17334,-16402
1431,20544,-19464
1432,10299,20463
1433,-24505,7148
1434,-5046,-20489
1435,24638,-8
1436,-21431,-1031
1437,15426,-20476
1438,17466,10239
1439,-16318,19446
1440,-18357,-15362
1441,24639,-5119
1442,7228,24565
1443,-20410,3060
1444,6211,-21505
1445,21561,5117
1446,-15295,21491
1447,13371,-15365
1448,13365,19442
1449,-15299,10222
1450,-4033,-19464
1451,22580,-3078
1452,-7112,20465
1453,-22461,-11273
1454,9279,-14337
1455,19510,15352
1456,-15298,19439
1457,-13243,-17416
1458,22586,-2054
1459,-24506,8183
1460,3141,-24572
1461,19516,8192
1462,-4034,19447
1463,-15290,-10243
1464,18493,-13308
1465,11320,19451
1466,-15296,9207
1467,63,-20478
1468,19510,2049
1469,-4040,24565
1470,9268,-14339
1471,17452,9209
1472,-11214,17393
1473,-11208,-17414
1474,20526,-5123
1475,3117,21491
1476,-22472,6129
1477,6197,-20484
1478,17453,11255
1479,-7119,14321
1480,-14280,-16390
1481,17456,-9217
1482,-24516,11258
1483,1083,-16381
1484,27694,2050
1485,2093,20472
1486,-21448,-8195
1487,18479,-19449
1488,15400,12289
1489,-15312,12283
1490,-12234,-20474
1491,17454,-8182
1492,-977,24574
1493,8235,-20471
1494,17443,4103
